family,noise,length,seed,method,stat_cfg_name,precision,recall,f1,roc_auc,pr_auc,edges_mean,edges_energy_only,edges_volatility_only,edges_union,auroc_lag1,auroc_lag2,status,time_seconds
var,low,short,0,SBTG-Linear,hac5_alpha010_by,0.0,0.0,0.0,0.4814814814814815,0.1,3.0,0.0,0.0,3.0,,,success,20.119877338409424
var,low,short,0,SBTG-Linear,hac7_alpha010_by,0.0,0.0,0.0,0.4814814814814815,0.1,3.0,0.0,0.0,3.0,,,success,18.347580909729004
var,low,short,0,SBTG-FeatureBilinear,hac5_alpha010_by,0.12162162162162163,1.0,0.21686746987951808,0.5987654320987654,0.12162162162162163,74.0,0.0,0.0,74.0,,,success,23.73026394844055
var,low,short,0,SBTG-FeatureBilinear,hac7_alpha010_by,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.5493827160493827,0.10987654320987654,72.0,0.0,0.0,72.0,,,success,23.62197732925415
var,low,short,0,SBTG-Minimal,hac5_alpha010_by,0.0,0.0,0.0,0.5,0.1,,,,,0.4142661179698217,0.3843498273878021,success,45.56358313560486
var,low,short,0,SBTG-Minimal,hac7_alpha010_by,0.0,0.0,0.0,0.5,0.1,,,,,0.51440329218107,0.4246260069044879,success,46.7965784072876
var,low,short,0,VAR-LASSO,default,0.25,0.2222222222222222,0.23529411764705882,0.5802469135802468,0.15183150183150185,,,,,,,,
var,low,short,0,VAR-Ridge,default,0.1111111111111111,1.0,0.2,0.3333333333333333,0.07844460695235667,,,,,,,,
var,low,short,0,VAR-LiNGAM,default,0.125,0.2222222222222222,0.16,0.5253772290809329,0.12804232804232804,,,,,,,,
var,low,short,0,NOTEARS,default,0.0,0.0,0.0,0.5,0.1,,,,,,,,
var,low,short,0,PCMCI+,default,0.07692307692307693,0.1111111111111111,0.09090909090909091,0.4814814814814815,0.09743589743589744,,,,,,,,
var,low,short,0,DYNOTEARS,default,0.0,0.0,0.0,0.5,0.1,,,,,,,,
var,low,short,1,SBTG-Linear,hac5_alpha010_by,0.3684210526315789,1.0,0.5384615384615384,0.927710843373494,0.3684210526315789,19.0,0.0,0.0,19.0,,,success,20.124730348587036
var,low,short,1,SBTG-Linear,hac7_alpha010_by,0.3684210526315789,1.0,0.5384615384615384,0.927710843373494,0.3684210526315789,19.0,0.0,0.0,19.0,,,success,18.339561462402344
var,low,short,1,SBTG-FeatureBilinear,hac5_alpha010_by,0.5,0.8571428571428571,0.631578947368421,0.8924268502581756,0.4396825396825397,12.0,0.0,0.0,12.0,,,success,23.74512267112732
var,low,short,1,SBTG-FeatureBilinear,hac7_alpha010_by,0.5,0.8571428571428571,0.631578947368421,0.8924268502581756,0.4396825396825397,12.0,0.0,0.0,12.0,,,success,23.629137754440308
var,low,short,1,SBTG-Minimal,hac5_alpha010_by,0.0,0.0,0.0,0.4457831325301205,0.07777777777777778,,,,,0.5783132530120482,0.6588235294117648,success,45.30863571166992
var,low,short,1,SBTG-Minimal,hac7_alpha010_by,0.07407407407407407,0.2857142857142857,0.11764705882352941,0.49225473321858865,0.07671957671957672,,,,,0.49569707401032703,0.30823529411764705,success,47.726221561431885
var,low,short,1,VAR-LASSO,default,0.1282051282051282,0.7142857142857143,0.21739130434782608,0.6557659208261619,0.24363659442271535,,,,,,,,
var,low,short,1,VAR-Ridge,default,0.07777777777777778,1.0,0.14432989690721648,0.5938037865748709,0.17341268020272543,,,,,,,,
var,low,short,1,VAR-LiNGAM,default,0.07407407407407407,0.2857142857142857,0.11764705882352941,0.4870912220309811,0.08241758241758242,,,,,,,,
var,low,short,1,NOTEARS,default,0.0,0.0,0.0,0.5,0.07777777777777778,,,,,,,,
var,low,short,1,PCMCI+,default,0.10416666666666667,0.7142857142857143,0.18181818181818182,0.598106712564544,0.09662698412698413,,,,,,,,
var,low,short,1,DYNOTEARS,default,0.4,0.2857142857142857,0.3333333333333333,0.6299483648881238,0.3412698412698413,,,,,,,,
var,high,short,1,SBTG-Linear,hac5_alpha010_by,0.17647058823529413,0.8571428571428571,0.2926829268292683,0.7598967297762479,0.1623716153127918,34.0,0.0,0.0,34.0,,,success,20.10365104675293
var,high,short,1,SBTG-Linear,hac7_alpha010_by,0.17647058823529413,0.8571428571428571,0.2926829268292683,0.7598967297762479,0.1623716153127918,34.0,0.0,0.0,34.0,,,success,18.34188675880432
var,high,short,1,SBTG-FeatureBilinear,hac5_alpha010_by,0.5454545454545454,0.8571428571428571,0.6666666666666666,0.8984509466437178,0.4786435786435786,11.0,0.0,0.0,11.0,,,success,23.76573085784912
var,high,short,1,SBTG-FeatureBilinear,hac7_alpha010_by,0.5454545454545454,0.8571428571428571,0.6666666666666666,0.8984509466437178,0.4786435786435786,11.0,0.0,0.0,11.0,,,success,23.6036319732666
var,high,short,1,SBTG-Minimal,hac5_alpha010_by,0.09433962264150944,0.7142857142857143,0.16666666666666666,0.5679862306368331,0.08960766696615755,,,,,0.6437177280550774,0.6188235294117648,success,45.64386796951294
var,high,short,1,SBTG-Minimal,hac7_alpha010_by,0.05714285714285714,0.2857142857142857,0.09523809523809523,0.4440619621342512,0.07188208616780045,,,,,0.4974182444061962,0.8682352941176471,success,47.034759759902954
var,high,short,1,VAR-LASSO,default,0.125,0.42857142857142855,0.1935483870967742,0.6024096385542168,0.16961451247165532,,,,,,,,
var,high,short,1,VAR-Ridge,default,0.07777777777777778,1.0,0.14432989690721648,0.6144578313253012,0.19150919815369782,,,,,,,,
var,high,short,1,VAR-LiNGAM,default,0.0,0.0,0.0,0.4819277108433735,0.07777777777777778,,,,,,,,
var,high,short,1,NOTEARS,default,0.5,0.14285714285714285,0.2222222222222222,0.5645438898450946,0.1380952380952381,,,,,,,,
var,high,short,1,PCMCI+,default,0.14285714285714285,0.2857142857142857,0.19047619047619047,0.5705679862306368,0.0963718820861678,,,,,,,,
var,high,short,1,DYNOTEARS,default,0.18181818181818182,0.2857142857142857,0.2222222222222222,0.6006884681583476,0.2222222222222222,,,,,,,,
